Alloy composition (at.\%) [ref.],Tg (K),Tx (K),Tl (K),Dmax (mm),Trg,1Tx,2,3m,4Trg,5,6,7,8,9I,1/10
Fe64Co8Y6B22 [41],884,927,1505,2.5,0.5874,43,0.388,0.6445,0.0692,1.4928,0.3812,0.616,1.636,2.4529,4.6826
Fe62Co10Y6B22 [41],885,932,1503,2.5,0.5888,47,0.3903,0.6514,0.0761,1.5081,0.387,0.6201,1.6419,2.5298,4.7993
Fe60Co12Y6B22 [41],881,924,1498,2.5,0.5881,43,0.3884,0.6455,0.0697,1.4976,0.3819,0.6168,1.6369,2.4707,4.6989
Fe58Co14Y6B22 [41],880,925,1485,2.5,0.5926,45,0.3911,0.6532,0.0744,1.5289,0.3874,0.6229,1.6437,2.5957,4.8271
Fe56Co16Y6B22 [41],882,927,1494,2.5,0.5904,45,0.3902,0.6506,0.0735,1.5147,0.3858,0.6205,1.6414,2.5432,4.784
Fe71Mo1Y6B22 [41],902,960,1517,2.5,0.5946,58,0.3969,0.6711,0.0943,1.561,0.4016,0.6328,1.6589,2.791,5.1594
Fe70Mo2Y6B22 [41],907,969,1508,3.5,0.6015,62,0.4012,0.6837,0.1032,1.6123,0.4098,0.6426,1.6698,3.0252,5.409
Fe69Mo3Y6B22 [41],908,958,1488,6,0.6102,50,0.3998,0.6774,0.0862,1.6517,0.4031,0.6438,1.6653,3.0967,5.2665
Fe68Mo4Y6B22 [41],915,944,1488,6.5,0.6149,29,0.3928,0.6539,0.0506,1.6475,0.3754,0.6344,1.6466,2.9187,4.8139
Fe67Mo5Y6B22 [41],920,941,1483,3.5,0.6204,21,0.3916,0.6487,0.0373,1.6714,0.3613,0.6345,1.6432,2.947,4.7176
Fe76Mo2Ga2P10C4B4Si2 [42],736,788,1247,2,0.59,52,0.39729,0.67337,0.10167,1.5407,0.4039,0.63168,1.6607,2.7473,5.2118
Fe74Mo4Ga2P10C4B4Si2 [42],740,790,1276,1.5,0.58,50,0.39189,0.65838,0.09331,1.4743,0.39453,0.61919,1.6476,2.4765,4.9375
Fe75Mo2Ga3P10C4B4Si2 [42],738,798,1230,2.5,0.6,60,0.40549,0.69756,0.12195,1.622,0.41908,0.64878,1.6813,3.1557,5.7204
Fe73Mo4Ga3P10C4B4Si2 [42],744,801,1283,2,0.58,57,0.39521,0.66887,0.1058,1.4868,0.40168,0.62444,1.6566,2.5677,5.1371
Fe79P10C4B4Si3 [43],740,774,1263,1,0.586,34,0.38646,0.63985,0.06503,1.4805,0.37722,0.61292,1.6319,2.3972,4.606
Fe78Mo1P10C4B4Si3 [43],742,780,1268,1.5,0.585,38,0.38799,0.64492,0.07219,1.4818,0.38247,0.61496,1.6362,2.4266,4.6924
